#Flux file (2D) for RDK2
# measurments by Jeff Nico
# extracted and reformatted by Matthew Bales
#Transposed Field (1=true,0=false)
0
# [Start(cm)] [Spacing (cm)] [# of Entries]
-1.49 0.06 150
-1.49 0.06 150
# [x(cm)][y(cm)][Potential (V)]
-1.430000e+00 -1.190000e+00 0.000000e+00
-1.430000e+00 -1.170000e+00 0.000000e+00
-1.430000e+00 -1.150000e+00 0.000000e+00
-1.430000e+00 -1.130000e+00 0.000000e+00
-1.430000e+00 -1.110000e+00 0.000000e+00
-1.430000e+00 -1.090000e+00 0.000000e+00
-1.430000e+00 -1.070000e+00 0.000000e+00
-1.430000e+00 -1.050000e+00 0.000000e+00
-1.430000e+00 -1.030000e+00 1.465396e-03
-1.430000e+00 -1.010000e+00 0.000000e+00
-1.430000e+00 -9.900000e-01 0.000000e+00
-1.430000e+00 -9.700000e-01 0.000000e+00
-1.430000e+00 -9.500000e-01 0.000000e+00
-1.430000e+00 -9.300000e-01 2.468011e-03
-1.430000e+00 -9.100000e-01 0.000000e+00
-1.430000e+00 -8.900000e-01 0.000000e+00
-1.430000e+00 -8.700000e-01 1.192945e-04
-1.430000e+00 -8.500000e-01 1.812102e-03
-1.430000e+00 -8.300000e-01 0.000000e+00
-1.430000e+00 -8.100000e-01 0.000000e+00
-1.430000e+00 -7.900000e-01 2.339283e-04
-1.430000e+00 -7.700000e-01 6.207419e-04
-1.430000e+00 -7.500000e-01 2.394157e-03
-1.430000e+00 -7.300000e-01 6.200995e-04
-1.430000e+00 -7.100000e-01 0.000000e+00
-1.430000e+00 -6.900000e-01 0.000000e+00
-1.430000e+00 -6.700000e-01 1.259122e-03
-1.430000e+00 -6.500000e-01 2.355566e-03
-1.430000e+00 -6.300000e-01 7.322044e-04
-1.430000e+00 -6.100000e-01 0.000000e+00
-1.430000e+00 -5.900000e-01 0.000000e+00
-1.430000e+00 -5.700000e-01 8.586819e-04
-1.430000e+00 -5.500000e-01 0.000000e+00
-1.430000e+00 -5.300000e-01 3.931394e-03
-1.430000e+00 -5.100000e-01 1.855949e-04
-1.430000e+00 -4.900000e-01 2.146779e-04
-1.430000e+00 -4.700000e-01 0.000000e+00
-1.430000e+00 -4.500000e-01 0.000000e+00
-1.430000e+00 -4.300000e-01 1.293673e-03
-1.430000e+00 -4.100000e-01 5.658903e-04
-1.430000e+00 -3.900000e-01 1.019151e-03
-1.430000e+00 -3.700000e-01 1.756505e-03
-1.430000e+00 -3.500000e-01 7.655701e-04
-1.430000e+00 -3.300000e-01 4.048470e-04
-1.430000e+00 -3.100000e-01 0.000000e+00
-1.430000e+00 -2.900000e-01 1.580009e-03
-1.430000e+00 -2.700000e-01 3.459657e-04
-1.430000e+00 -2.500000e-01 1.191899e-03
-1.430000e+00 -2.300000e-01 1.287043e-03
-1.430000e+00 -2.100000e-01 0.000000e+00
-1.430000e+00 -1.900000e-01 8.370622e-03
-1.430000e+00 -1.700000e-01 4.925936e-04
-1.430000e+00 -1.500000e-01 0.000000e+00
-1.430000e+00 -1.300000e-01 1.755679e-03
-1.430000e+00 -1.100000e-01 9.078534e-04
